Melyik történelmi szín számít Madách Imre jelenének?; Párizs; Falaszter; London; Prága
Kiről mintázta Évát Madách Imre?; A nővéréről; A felesgéről; Az nanyósáról; A lányáról
Hány színből áll a mű, ebből mennyi a keretszín és történeti szín?; 14 szín: első és utolsó keretszínek, a többi 12 pedig történeti színek; 14 szín: első kettő és az utolsó keretszínek, a többi 11 pedig történeti színek; 15 szín: az első három és az utolsó keretszínek, a többi 11 pedig történeti színek; 15 szín: az első három és az utolsó három keretszínek, a többi 9 pedig történeti színek
Melyik szín NEM a jövőben játszódik?; Paradicsom; Falaszter; Az Űr; Eszkimó-világ;
Az 1862. január 12-én megjelent művet mikor tiltották be a színházakban?; A kommunizmus idején; A bemutató után egyből; Az első világháború után.; Sosem tiltották be.;
Ádám melyik híres történelmi személyként NEM szerepel a műben?; Miltiadész, arisztokrata; Fourier, író; Kepler, csillagász; Danton, forradalmár
Melyik az a szín, ahol az álmot nem Lucifer irányítja, hanem Ádám?; Athén; Róma; Párizs; London
Ki Ádám és Éva fia az ötödik színben?; Kimón; Elpinice; Erósz; Kriszposz
Ki mondja a híres zárómondatot a színdarabban? “Mondottam, ember: küzdj és bízva bízzál!”; Lucifer; Ádám; Éva; Az Úr
Ki mondja és melyik színben "A gép forog, az alkotó pihen."?; 
